Name,Year_of_Release,Genre,Publisher,Critic_Score,ESRB_Rating,Global_Sale
Dragon Quest VIII: Journey of the Cursed King,2004,Role-Playing,Square Enix,89,T,5210000
Super Mario Bros. 3,2003,Platform,Nintendo,,,5200000
Professor Layton and the Curious Village,2007,Puzzle,Nintendo,85,E,5190000
Super Mario Land 3: Wario Land,1994,Platform,Nintendo,,,5190000
FIFA Soccer 13,2012,Action,Electronic Arts,90,E,5170000
Diablo III,2012,Role-Playing,Activision,88,M,5170000
Donkey Kong Country 2: Diddys Kong Quest,1995,Platform,Nintendo,,,5150000
Medal of Honor: Rising Sun,2003,Shooter,Electronic Arts,68,T,5130000
Kirbys Dream Land,1992,Platform,Nintendo,,,5130000
Microsoft Flight Simulator,1996,Simulation,Microsoft Game Studios,,,5120000
Guitar Hero II,2006,Misc,RedOctane,92,T,5120000
Fable III,2010,Role-Playing,Microsoft Game Studios,80,M,5100000
Mario & Sonic at the Olympic Games,2008,Sports,Sega,,,5090000
Resident Evil 5,2009,Action,Capcom,84,M,5090000
The Legend of Zelda: Phantom Hourglass,2007,Action,Nintendo,90,E,5080000
FIFA Soccer 11,2010,Sports,Electronic Arts,89,E,5070000
Super Mario Bros.,1999,Platform,Nintendo,,,5070000
The Last of Us,2014,Action,Sony Computer Entertainment,,,5060000
Resident Evil,1996,Action,Virgin Interactive,91,M,5050000
Grand Theft Auto: Vice City Stories,2006,Action,Take-Two Interactive,86,M,5030000
Tony Hawks Pro Skater,1999,Sports,Activision,92,T,5020000
Warzone 2100,1999,Strategy,Eidos Interactive,,,5010000
Spyro the Dragon,1998,Platform,Sony Computer Entertainment,,,5000000
Guitar Hero III: Legends of Rock,2007,Misc,Activision,82,T,4980000
Links Crossbow Training,2007,Shooter,Nintendo,68,T,4980000
Fallout 3,2008,Role-Playing,Bethesda Softworks,93,M,4940000
Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007,Role-Playing,Nintendo,,,4930000
Super Smash Bros. for Wii U and 3DS,2014,Fighting,Nintendo,,,4930000
Uncharted: Drakes Fortune,2007,Action,Sony Computer Entertainment,88,T,4920000
Madden NFL 06,2005,Sports,Electronic Arts,88,E,4910000
Diddy Kong Racing,1997,Racing,Nintendo,,,4880000
Monster Hunter Freedom 3,2010,Role-Playing,Capcom,,,4870000
StarCraft II: Wings of Liberty,2010,Strategy,Activision,93,T,4850000
Dr. Mario,1990,Puzzle,Nintendo,,,4850000
Assassins Creed,2007,Adventure,Ubisoft,81,M,4820000
God of War III,2010,Action,Sony Computer Entertainment,92,M,4800000
Uncharted: The Nathan Drake Collection,2015,Action,Sony Computer Entertainment,86,T,4800000
Crash Team Racing,1999,Racing,Sony Computer Entertainment,88,E,4790000
LEGO Star Wars: The Complete Saga,2007,Action,LucasArts,80,E,4760000
Driver 2,2000,Action,Atari,62,T,4730000
Batman: Arkham City,2011,Action,Warner Bros. Interactive Entertainment,94,T,4730000
The Simpsons: Hit & Run,2003,Racing,Vivendi Games,,,4700000
Tony Hawks Pro Skater 2,2000,Sports,Activision,98,T,4680000
The Lord of the Rings: The Two Towers,2002,Action,Electronic Arts,82,T,4670000
Tomb Raider,1996,Action,Eidos Interactive,91,T,4630000
Animal Crossing: City Folk,2008,Simulation,Nintendo,73,E,4620000
Luigis Mansion: Dark Moon,2013,Action,Nintendo,86,E,4620000
Minecraft,2014,Misc,Sony Computer Entertainment Europe,,,4620000
Halo 5: Guardians,2015,Shooter,Microsoft Game Studios,84,T,4610000
The Legend of Zelda: A Link to the Past,1991,Action,Nintendo,,,4610000
The Legend of Zelda: The Wind Waker,2002,Action,Nintendo,96,E,4600000
Guitar Hero III: Legends of Rock,2007,Misc,Activision,86,T,4600000
Forza Motorsport 4,2011,Racing,Microsoft Game Studios,91,E,4570000
Splatoon,2015,Shooter,Nintendo,81,E10+,4540000
Mario & Sonic at the Olympic Winter Games,2009,Sports,Sega,,,4530000
Madden NFL 2005,2004,Sports,Electronic Arts,91,E,4530000
Guitar Hero III: Legends of Rock,2007,Misc,Activision,85,T,4530000
The Legend of Zelda: Ocarina of Time,2011,Action,Nintendo,,,4510000
Pitfall!,1981,Platform,Activision,,,4500000
Madden NFL 07,2006,Sports,Electronic Arts,84,E,4490000
Spider-Man: The Movie,2002,Action,Activision,76,E,4480000
Super Mario 3D World,2013,Platform,Nintendo,93,E,4470000
Dragon Quest VII: Warriors of Eden,2000,Role-Playing,Enix Corporation,,,4470000
God of War,2005,Action,Sony Computer Entertainment,94,M,4450000
Nintendo Land,2012,Misc,Nintendo,77,E10+,4420000
Tony Hawks Pro Skater 3,2001,Sports,Activision,97,T,4410000
Winning Eleven: Pro Evolution Soccer 2007,2006,Sports,Konami Digital Entertainment,86,E,4390000
The Elder Scrolls IV: Oblivion,2006,Role-Playing,Take-Two Interactive,94,M,4390000
Zelda II: The Adventure of Link,1987,Adventure,Nintendo,,,4380000
Call of Duty: Advanced Warfare,2014,Shooter,Activision,,M,4380000
Fallout 4,2015,Role-Playing,Bethesda Softworks,88,M,4370000
Need for Speed: Most Wanted,2005,Racing,Electronic Arts,82,T,4370000
Michael Jackson: The Experience,2010,Misc,Ubisoft,56,E10+,4360000
Resistance: Fall of Man,2006,Shooter,Sony Computer Entertainment,86,M,4350000
Sonic the Hedgehog,1991,Platform,Sega,,,4340000
Kingdom Hearts II,2005,Role-Playing,Square Enix,87,E10+,4330000
Call of Duty: Advanced Warfare,2014,Shooter,Activision,,M,4320000
Asteroids,1980,Shooter,Atari,,,4310000
FIFA 15,2014,Sports,Electronic Arts,,E,4280000
Fable II,2008,Role-Playing,Microsoft Game Studios,89,M,4270000
Batman: Arkham Asylum,2009,Action,Eidos Interactive,91,T,4240000
Namco Museum,2001,Misc,Namco Bandai Games,79,E,4240000
Metal Gear Solid 3: Snake Eater,2004,Action,Konami Digital Entertainment,91,M,4230000
FIFA 14,2013,Sports,Electronic Arts,84,E,4220000
Assassins Creed: Revelations,2011,Action,Ubisoft,80,M,4220000
Daxter,2006,Platform,Sony Computer Entertainment,85,E10+,4210000
Warcraft II: Tides of Darkness,1995,Strategy,Activision,,,4210000
FIFA Soccer 06,2005,Sports,Electronic Arts,80,E,4210000
EyeToy Play,2003,Misc,Sony Computer Entertainment,80,E,4200000
Assassins Creed: Revelations,2011,Action,Ubisoft,80,M,4200000
Gran Turismo 5 Prologue,2007,Racing,Sony Computer Entertainment,80,E,4190000
FIFA 12,2011,Sports,Electronic Arts,,,4180000
Teenage Mutant Ninja Turtles,1989,Action,Palcom,,,4170000
Street Fighter IV,2009,Fighting,Capcom,94,T,4170000
Excitebike,1984,Racing,Nintendo,,,4160000
Frogger,1997,Action,Hasbro Interactive,,,4160000
Madden NFL 2003,2002,Sports,Electronic Arts,95,E,4140000
The Witcher 3: Wild Hunt,2015,Role-Playing,Namco Bandai Games,92,M,4140000
Half-Life,1997,Shooter,Vivendi Games,96,M,4120000
Super Mario World 2: Yoshis Island,1995,Platform,Nintendo,,,4120000
FIFA Soccer 07,2006,Sports,Electronic Arts,,,4110000
Street Fighter II Turbo,1992,Fighting,Capcom,,,4100000
Watch Dogs,2014,Action,Ubisoft,80,M,4090000
World of Warcraft: The Burning Crusade,2007,Role-Playing,Activision,91,T,4090000
Batman: Arkham Knight,2015,Action,Warner Bros. Interactive Entertainment,87,M,4090000
God of War II,2007,Action,Sony Computer Entertainment,93,M,4070000
Far Cry 4,2014,Shooter,Ubisoft,85,M,4060000
Fallout: New Vegas,2010,Role-Playing,Bethesda Softworks,84,M,4060000
World Soccer Winning Eleven 9,2005,Sports,Konami Digital Entertainment,,E,4060000
Carnival Games,2007,Misc,Take-Two Interactive,56,E,4050000
Forza Motorsport 2,2007,Racing,Microsoft Game Studios,90,E,4050000
Namco Museum Vol.3,1996,Misc,Sony Computer Entertainment,,,4050000
Tekken Tag Tournament,2000,Fighting,Namco Bandai Games,85,T,4050000
Star Fox 64,1997,Shooter,Nintendo,,,4030000
Golf,1984,Sports,Nintendo,,,4010000
Tom Clancys The Division,2016,Shooter,Ubisoft,80,M,4000000
Assassins Creed: Unity,2014,Action,Ubisoft,70,M,3990000
Namco Museum: 50th Anniversary,2005,Misc,Namco Bandai Games,61,E10+,3980000
Left 4 Dead 2,2009,Shooter,Electronic Arts,89,M,3970000
Fallout 3,2008,Role-Playing,Bethesda Softworks,90,M,3950000
The Legend of Zelda: Skyward Sword,2011,Action,Nintendo,93,E10+,3950000
Professor Layton and the Diabolical Box,2007,Puzzle,Nintendo,84,E10+,3940000
The Elder Scrolls V: Skyrim,2011,Role-Playing,Bethesda Softworks,94,M,3920000
Nintendogs + cats,2011,Simulation,Nintendo,,,3920000
Monster Hunter 4 Ultimate,2014,Role-Playing,Nintendo,86,T,3920000
Star Wars Battlefront (2015),2015,Shooter,Electronic Arts,,,3910000
Donkey Kong Land,1994,Platform,Nintendo,,,3910000
EA Sports Active,2009,Sports,Electronic Arts,81,E,3910000
NBA 2K16,2015,Sports,Take-Two Interactive,87,E10+,3900000
Tony Hawks Underground,2003,Sports,Activision,90,T,3900000
Tekken 5,2005,Fighting,Namco Bandai Games,88,T,3870000
Dragon Warrior III,1988,Role-Playing,Enix Corporation,,,3870000
MotorStorm,2006,Racing,Sony Computer Entertainment,84,T,3870000
World Soccer Winning Eleven 8 International,2004,Sports,Konami Digital Entertainment,91,E,3850000
Sports Champions,2010,Sports,Sony Computer Entertainment,76,E10+,3850000
Namco Museum Vol.1,1995,Misc,Sony Computer Entertainment,,,3840000
Call of Duty: Ghosts,2013,Shooter,Activision,78,M,3830000
The Legend of Zelda: Links Awakening,1992,Action,Nintendo,,,3830000
Flash Focus: Vision Training in Minutes a Day,2007,Misc,Nintendo,59,E,3830000
Big Brain Academy: Wii Degree,2007,Misc,Nintendo,68,E,3790000
Resident Evil Directors Cut,1996,Action,Virgin Interactive,,,3770000
Mario & Luigi: Bowsers Inside Story,2009,Role-Playing,Nintendo,,,3770000
LEGO Indiana Jones: The Original Adventures,2008,Action,Activision,77,E10+,3760000
The Sims: Unleashed,2002,Simulation,Electronic Arts,79,T,3760000
Ratchet & Clank: Size Matters,2007,Platform,Sony Computer Entertainment,,,3740000
Harry Potter and the Sorcerers Stone,2001,Action,Electronic Arts,64,E,3730000
Assassins Creed IV: Black Flag,2013,Action,Ubisoft,88,M,3720000
Mario & Sonic at the London 2012 Olympic Games,2011,Sports,Sega,,,3720000
Resident Evil 3: Nemesis,1999,Action,Eidos Interactive,,,3720000
Super Paper Mario,2007,Platform,Nintendo,85,E,3720000
Spyro: Year of the Dragon,2000,Platform,Sony Computer Entertainment,91,E,3710000
FIFA Soccer 2005,2004,Sports,Electronic Arts,81,E,3700000
Pok\xc3\xa9mon Trading Card Game,1998,Strategy,Nintendo,,,3700000
Friend Collection,2009,Misc,Nintendo,,,3670000
Tony Hawks Pro Skater 4,2002,Sports,Activision,94,T,3670000
MySims,2007,Simulation,Electronic Arts,67,E,3660000
Midnight Club 3: DUB Edition,2005,Racing,Take-Two Interactive,74,E10+,3650000
Banjo-Kazooie,1998,Platform,Nintendo,,,3650000
SOCOM: U.S. Navy SEALs,2002,Shooter,Sony Computer Entertainment,82,M,3650000
Jak and Daxter: The Precursor Legacy,2001,Platform,Sony Computer Entertainment,90,E,3640000
Pokemon Snap,1999,Simulation,Nintendo,,,3630000
Pro Evolution Soccer 2008,2007,Sports,Konami Digital Entertainment,82,E,3630000
Resident Evil 4,2005,Action,Capcom,96,M,3620000
FIFA Soccer 10,2009,Sports,Electronic Arts,91,E,3620000
Guitar Hero: World Tour,2008,Misc,Activision,86,T,3620000
Battlefield 4,2013,Shooter,Electronic Arts,85,M,3610000
Star Wars: Battlefront,2004,Shooter,LucasArts,82,T,3610000
Doom II: Hell on Earth,1994,Shooter,Virgin Interactive,,,3610000
The Simpsons: Road Rage,2001,Racing,Electronic Arts,64,T,3610000
Luigis Mansion,2001,Action,Nintendo,78,E,3600000
Just Dance 2014,2013,Misc,Ubisoft,,E10+,3590000
Star Wars: Battlefront II,2005,Shooter,LucasArts,84,T,3590000
Cooking Mama 2: Dinner With Friends,2007,Simulation,505 Games,70,E,3580000
WWF SmackDown!,2000,Fighting,THQ,,,3580000
Croc: Legend of the Gobbos,1997,Platform,Fox Interactive,,,3560000
Call of Duty: Infinite Warfare,2016,Shooter,Activision,78,M,3560000
Assassins Creed: Unity,2014,Action,Ubisoft,72,M,3560000
Grand Theft Auto: Liberty City Stories,2006,Action,Take-Two Interactive,78,M,3540000
The Getaway,2002,Action,Sony Computer Entertainment,72,M,3540000
Tomb Raider III: Adventures of Lara Croft,1997,Action,Eidos Interactive,,,3540000
